Episode,timestep,reward1,reward2
3594,3600,163.2047,-163.2047
7194,7200,284.3332,-284.3332
10793,10800,451.2905,-451.2905
14393,14400,361.3451,-361.3451
17991,18000,11.1939,-11.1939
21589,21600,-38.7808,38.7808
25188,25200,392.0118,-392.0118
28787,28800,390.4665,-390.4665
32385,32400,420.2711,-420.2711
35984,36000,-278.3104,278.3104
39584,39600,-590.9172,590.9172
43181,43200,281.1931,-281.1931
46780,46800,356.9546,-356.9546
50380,50400,-269.447,269.447
53976,54000,-245.6533,245.6533
57573,57600,-301.3148,301.3148
61173,61200,-592.9312,592.9312
64773,64800,68.3003,-68.3003
