mass_A
t,x,y
0.000000000E0,-1.351810124E1,2.295849894E0
9.380687042E-3,-1.351810124E1,2.295849894E0
1.876137408E-2,-1.351810124E1,2.295849894E0
2.814206112E-2,-1.351810124E1,2.295849894E0
3.752274817E-2,-1.351810124E1,2.295849894E0
4.690343521E-2,-1.351810124E1,2.295849894E0
5.628412225E-2,-1.351810124E1,2.295849894E0
6.566480929E-2,-1.351810124E1,2.295849894E0
7.504549633E-2,-1.351810124E1,2.295849894E0
8.442618337E-2,-1.351812930E1,2.295853290E0
9.380687042E-2,-1.351813921E1,2.295829423E0
1.031875575E-1,-1.351812096E1,2.295777330E0
1.125682445E-1,-1.351803097E1,2.295815223E0
1.219489315E-1,-1.351795925E1,2.295743786E0
1.313296186E-1,-1.351794043E1,2.295837783E0
1.407103056E-1,-1.351797653E1,2.295838288E0
1.500909927E-1,-1.351797028E1,2.295831784E0
1.594716797E-1,-1.351797291E1,2.295829184E0
1.688523667E-1,-1.351797499E1,2.295855088E0
1.782330538E-1,-1.351804831E1,2.295787520E0
1.876137408E-1,-1.351804166E1,2.295737856E0
1.969944279E-1,-1.351808355E1,2.295629566E0
2.063751149E-1,-1.351819441E1,2.295656188E0
2.157558020E-1,-1.351819957E1,2.295621173E0
2.251364890E-1,-1.351817167E1,2.295491909E0
2.345171760E-1,-1.351820980E1,2.295496667E0
2.438978631E-1,-1.351820331E1,2.295499271E0
2.532785501E-1,-1.351819969E1,2.295485679E0
2.626592372E-1,-1.351790133E1,2.295568993E0
2.720399242E-1,-1.351770300E1,2.295576094E0
2.814206112E-1,-1.351779499E1,2.295674320E0
2.908012983E-1,-1.351775789E1,2.295712934E0
3.001819853E-1,-1.351785331E1,2.295706546E0
3.095626724E-1,-1.351789186E1,2.295724307E0
3.189433594E-1,-1.351790057E1,2.295723394E0
3.283240465E-1,-1.351786701E1,2.295834374E0
3.377047335E-1,-1.351788743E1,2.295803246E0
3.470854205E-1,-1.351784974E1,2.295867524E0
3.564661076E-1,-1.351785328E1,2.295858698E0
3.658467946E-1,-1.351785564E1,2.295868131E0
3.752274817E-1,-1.351807975E1,2.295843490E0
3.846081687E-1,-1.351829796E1,2.295705681E0
3.939888557E-1,-1.351841540E1,2.295710315E0
4.033695428E-1,-1.351828672E1,2.295755000E0
4.127502298E-1,-1.351831177E1,2.295853360E0
4.221309169E-1,-1.351818929E1,2.295879594E0
4.315116039E-1,-1.351825845E1,2.295800923E0
4.408922910E-1,-1.351824750E1,2.295806709E0
4.502729780E-1,-1.351824756E1,2.295816483E0
4.596536650E-1,-1.351833542E1,2.295650543E0
4.690343521E-1,-1.351840522E1,2.295574406E0
4.784150391E-1,-1.351833333E1,2.295589624E0
4.877957262E-1,-1.351829528E1,2.295553074E0
4.971764132E-1,-1.351822175E1,2.295723757E0
5.065571002E-1,-1.351816506E1,2.295763267E0
5.159377873E-1,-1.351816113E1,2.295739543E0
5.253184743E-1,-1.351816015E1,2.295743301E0
5.346991614E-1,-1.351814065E1,2.295727781E0
5.440798484E-1,-1.351815046E1,2.295737889E0
5.534605354E-1,-1.351815089E1,2.295814018E0
5.628412225E-1,-1.351816857E1,2.295811211E0
5.722219095E-1,-1.351805230E1,2.295687891E0
5.816025966E-1,-1.351795921E1,2.295660520E0
5.909832836E-1,-1.351789730E1,2.295601776E0
6.003639707E-1,-1.351787243E1,2.295617544E0
6.097446577E-1,-1.351792114E1,2.295596713E0
6.191253447E-1,-1.351792489E1,2.295629255E0
6.285060318E-1,-1.351819520E1,2.295693931E0
