mass_A,,,,,,
t,x,y,mag,t_vel,vel,
0.00E+00,-1.26E+01,1.62E+00,0,3.33E-03,0.00E+00,
6.67E-03,-1.26E+01,1.62E+00,0,5.67E-02,1.29E-03,
1.07E-01,-1.26E+01,1.62E+00,0.000128551,1.23E-01,-5.39E-04,
1.40E-01,-1.26E+01,1.62E+00,0.000110595,1.57E-01,1.30E-03,
1.73E-01,-1.26E+01,1.62E+00,0.000153904,1.90E-01,3.33E-04,
2.07E-01,-1.26E+01,1.62E+00,0.000164992,2.23E-01,-2.42E-03,
2.40E-01,-1.26E+01,1.62E+00,8.41792E-05,2.57E-01,3.93E-03,
2.73E-01,-1.26E+01,1.62E+00,0.000215292,2.90E-01,-5.49E-03,
3.07E-01,-1.26E+01,1.62E+00,3.22607E-05,3.23E-01,1.37E-04,
3.40E-01,-1.26E+01,1.62E+00,3.6839E-05,3.57E-01,3.19E-04,
3.73E-01,-1.26E+01,1.62E+00,4.74704E-05,3.90E-01,-6.35E-04,
4.07E-01,-1.26E+01,1.62E+00,2.63009E-05,4.23E-01,1.07E-03,
4.40E-01,-1.26E+01,1.62E+00,6.19722E-05,4.57E-01,9.24E-03,
4.73E-01,-1.26E+01,1.62E+00,0.000370058,4.90E-01,-7.60E-03,
5.07E-01,-1.26E+01,1.62E+00,0.000116699,5.23E-01,3.79E-01,
5.40E-01,-1.26E+01,1.62E+00,0.012752575,5.57E-01,1.79E+00,
5.73E-01,-1.25E+01,1.62E+00,0.072489668,5.90E-01,3.48E+00,
6.07E-01,-1.24E+01,1.62E+00,0.188590644,6.23E-01,4.91E+00,
6.40E-01,-1.23E+01,1.62E+00,0.352283669,6.57E-01,5.91E+00,
6.73E-01,-1.21E+01,1.62E+00,0.549326355,6.90E-01,6.96E+00,
7.07E-01,-1.18E+01,1.62E+00,0.781468758,7.23E-01,7.93E+00,
7.40E-01,-1.16E+01,1.62E+00,1.045705306,7.57E-01,8.35E+00,
7.73E-01,-1.13E+01,1.62E+00,1.324020291,7.90E-01,5.91E+00,
8.07E-01,-1.11E+01,1.61E+00,1.52114629,8.23E-01,4.08E+00,
8.40E-01,-1.09E+01,1.61E+00,1.657253267,8.57E-01,2.27E+00,
8.73E-01,-1.09E+01,1.61E+00,1.732845079,8.90E-01,2.80E+00,
9.07E-01,-1.08E+01,1.61E+00,1.826310074,9.23E-01,2.26E+00,
9.40E-01,-1.07E+01,1.61E+00,1.901722386,9.57E-01,4.62E-01,
9.73E-01,-1.07E+01,1.61E+00,1.917126311,9.90E-01,1.03E-01,
1.01E+00,-1.07E+01,1.61E+00,1.920575988,1.02E+00,3.08E-02,
1.04E+00,-1.07E+01,1.61E+00,1.921603231,1.06E+00,2.81E-02,
1.07E+00,-1.07E+01,1.61E+00,1.92254097,1.09E+00,8.54E-03,
1.11E+00,-1.07E+01,1.61E+00,1.922825604,1.12E+00,-1.05E-02,
